Fecha,Almacenamiento utilizado en Gmail,Almacenamiento utilizado en Drive,Almacenamiento utilizado en Fotos,Almacenamiento utilizado por las unidades compartidas
28 jun 2021 00:00:00 GMT-7,29327043,112645334,11354391,0
29 jun 2021 00:00:00 GMT-7,29341670,112687861,11411560,0
30 jun 2021 00:00:00 GMT-7,29355579,112740056,11451656,0
1 jul 2021 00:00:00 GMT-7,29368708,112783090,11509452,0
2 jul 2021 00:00:00 GMT-7,29383741,112847414,11559159,0
3 jul 2021 00:00:00 GMT-7,29389349,112886463,11619491,0
4 jul 2021 00:00:00 GMT-7,29397891,112891794,11655606,0
5 jul 2021 00:00:00 GMT-7,29412065,112954490,11709266,0
6 jul 2021 00:00:00 GMT-7,29438060,113031113,11758744,0
7 jul 2021 00:00:00 GMT-7,29462785,113101540,11799472,0
8 jul 2021 00:00:00 GMT-7,29498463,113152397,11843163,0
9 jul 2021 00:00:00 GMT-7,29517806,113221070,11902373,0
10 jul 2021 00:00:00 GMT-7,29526834,113203738,11949728,0
11 jul 2021 00:00:00 GMT-7,29527768,113196761,12003261,0
12 jul 2021 00:00:00 GMT-7,29534898,113198426,12052806,0
13 jul 2021 00:00:00 GMT-7,29543688,113221864,12112838,0
14 jul 2021 00:00:00 GMT-7,29552349,113244156,12205252,0
15 jul 2021 00:00:00 GMT-7,29557675,113257051,12246784,0
16 jul 2021 00:00:00 GMT-7,29556844,113266775,12312164,0
17 jul 2021 00:00:00 GMT-7,29555918,113268891,12348300,0
18 jul 2021 00:00:00 GMT-7,29557137,113270557,12387093,0
19 jul 2021 00:00:00 GMT-7,29562193,113288088,12431127,0
20 jul 2021 00:00:00 GMT-7,29566191,113294997,12472040,0
21 jul 2021 00:00:00 GMT-7,29572644,113305629,12526843,0
22 jul 2021 00:00:00 GMT-7,29577292,113305657,12568535,0
23 jul 2021 00:00:00 GMT-7,29578123,113318255,12612936,0
24 jul 2021 00:00:00 GMT-7,29577986,113312018,12650353,0
25 jul 2021 00:00:00 GMT-7,29578818,113312596,12704435,0
26 jul 2021 00:00:00 GMT-7,29581106,113299111,12763403,0
27 jul 2021 00:00:00 GMT-7,29588717,113287291,12821545,0
28 jul 2021 00:00:00 GMT-7,29592703,113275083,12863296,0
29 jul 2021 00:00:00 GMT-7,29594334,113276363,12940839,0
30 jul 2021 00:00:00 GMT-7,29599033,113251847,12991432,0
31 jul 2021 00:00:00 GMT-7,29569440,113226418,13046526,0
1 ago 2021 00:00:00 GMT-7,29570410,113215367,13096771,0
2 ago 2021 00:00:00 GMT-7,29582297,113202949,13150114,0
3 ago 2021 00:00:00 GMT-7,29601949,113164723,13192304,0
4 ago 2021 00:00:00 GMT-7,29610551,113157001,13238087,0
5 ago 2021 00:00:00 GMT-7,29619206,113158574,13298658,0
6 ago 2021 00:00:00 GMT-7,29652130,113141804,13361039,0
7 ago 2021 00:00:00 GMT-7,29653450,113128572,13404854,0
8 ago 2021 00:00:00 GMT-7,29654930,113128982,13424835,0
9 ago 2021 00:00:00 GMT-7,29654017,113097368,13478782,0
10 ago 2021 00:00:00 GMT-7,29657526,112915935,13523499,0
11 ago 2021 00:00:00 GMT-7,29670794,112776928,13603155,0
12 ago 2021 00:00:00 GMT-7,29673348,112688657,13651526,0
13 ago 2021 00:00:00 GMT-7,29686179,112626362,13697305,0
14 ago 2021 00:00:00 GMT-7,29691103,112519413,13769594,0
15 ago 2021 00:00:00 GMT-7,29691103,112519413,13769594,0
16 ago 2021 00:00:00 GMT-7,29705962,112402822,13819812,0
17 ago 2021 00:00:00 GMT-7,29719919,112378913,13882933,0
18 ago 2021 00:00:00 GMT-7,29716168,112281030,13915249,0
19 ago 2021 00:00:00 GMT-7,29728532,112361038,13975516,0
20 ago 2021 00:00:00 GMT-7,29741622,112432442,14037283,0
21 ago 2021 00:00:00 GMT-7,29746952,112497039,14084462,0
22 ago 2021 00:00:00 GMT-7,29752031,112523100,14159590,0
23 ago 2021 00:00:00 GMT-7,29769677,112740663,14217395,0
24 ago 2021 00:00:00 GMT-7,29788563,112897843,14295831,0
